Timestamp,Score,Your Name,Actor in a Leading Role,Actor in a Supporting Role,Actress in a Leading Role,Actress in a Supporting Role,"Animated Feature Film",Cinematography,Costume Design,Directing,Documentary Feature Film,Documentary Short Film,Film Editing,International Feature Film,Makeup and Hairstyling,Music (Original Score),Music (Original Song),Best Picture,Production Design,Short Film (Animated),Short Film (Live Action),Sound,Visual Effects,Writing (Adapted Screenplay),Writing (Original Screenplay)
3/1/2023 0:28:11,9 / 23,stef,Brendan Fraser - The Whale,Ke Huy Quan - Everything Everywhere All at Once,Michelle Yeoh - Everything Everywhere All at Once,Stephanie Hsu - Everything Everywhere All at Once,Turning Red,Tar,Everything Everywhere All at Once,Daniel Kwan and Daniel Scheinert - Everything Everywhere All at Once,Fire of Love,The Elephant Whisperers,Everything Everywhere All at Once,The Quiet Girl,The Batman,Everything Everywhere All at Once,This is a Life - Everything Everywhere All at Once,Everything Everywhere All at Once,Avatar: The Way of the Water,An Ostrich Told Me the World is Fake and I Think I Believe It,An Irish Goodbye,The Batman,The Batman,Glass Onion: A Knives Out Mystery,Everything Everywhere All at Once
3/1/2023 0:29:46,10 / 23,elissa,Brendan Fraser - The Whale,Ke Huy Quan - Everything Everywhere All at Once,Michelle Yeoh - Everything Everywhere All at Once,Jamie Lee Curtis - Everything Everywhere All at Once,Marcel the Shell with Shoes On,All Quiet on the Western Front,Everything Everywhere All at Once,Daniel Kwan and Daniel Scheinert - Everything Everywhere All at Once,All That Breathes,How Do You Measure a Year?,Everything Everywhere All at Once,All Quiet on the Western Front,The Batman,Everything Everywhere All at Once,This is a Life - Everything Everywhere All at Once,Everything Everywhere All at Once,Babylon,An Ostrich Told Me the World is Fake and I Think I Believe It,The Red Suitcase,The Batman,The Batman,Glass Onion: A Knives Out Mystery,Everything Everywhere All at Once
3/1/2023 0:32:52,13 / 23,Chris,Bill Nighy - Living,Ke Huy Quan - Everything Everywhere All at Once,Michelle Yeoh - Everything Everywhere All at Once,Jamie Lee Curtis - Everything Everywhere All at Once,Puss In Boots: The Last Wish,All Quiet on the Western Front,Black Panther: Wakanda Forever,Daniel Kwan and Daniel Scheinert - Everything Everywhere All at Once,Navalny,The Elephant Whisperers,Top Gun: Maverick,All Quiet on the Western Front,Black Panther: Wakanda Forever,Everything Everywhere All at Once,Lift Me Up - Black Panther: Wakanda Forever,Everything Everywhere All at Once,All Quiet on the Western Front,An Ostrich Told Me the World is Fake and I Think I Believe It,An Irish Goodbye,The Batman,Black Panther: Wakanda Forever,Glass Onion: A Knives Out Mystery,Everything Everywhere All at Once
3/1/2023 7:58:44,5 / 23,alice💓💖💘💝💞,Austin Butler - Elvis,Brendan Gleeson - The Banshees of Inisherin,Michelle Yeoh - Everything Everywhere All at Once,Angela Bassett - Black Panther: Wakanda Forever,Puss In Boots: The Last Wish,Elvis,Black Panther: Wakanda Forever,Steven Spielberg - The Fabelmans,All That Breathes,The Elephant Whisperers,Elvis,The Quiet Girl,Black Panther: Wakanda Forever,Babylon,Hold My Hand - Top Gun: Maverick,Top Gun: Maverick,Babylon,"The Boy, The Mole, The Fox and the Horse",An Irish Goodbye,All Quiet on the Western Front,Top Gun: Maverick,Top Gun: Maverick,Triangle of Sadness
3/1/2023 19:47:44,12 / 23,Jen!,Bill Nighy - Living,Ke Huy Quan - Everything Everywhere All at Once,Michelle Yeoh - Everything Everywhere All at Once,Stephanie Hsu - Everything Everywhere All at Once,Marcel the Shell with Shoes On,All Quiet on the Western Front,Everything Everywhere All at Once,Daniel Kwan and Daniel Scheinert - Everything Everywhere All at Once,All the Beauty and the Bloodshed,The Elephant Whisperers,Everything Everywhere All at Once,All Quiet on the Western Front,Black Panther: Wakanda Forever,Everything Everywhere All at Once,This is a Life - Everything Everywhere All at Once,Everything Everywhere All at Once,All Quiet on the Western Front,"The Boy, The Mole, The Fox and the Horse",An Irish Goodbye,All Quiet on the Western Front,,Glass Onion: A Knives Out Mystery,Everything Everywhere All at Once
3/2/2023 17:49:34,10 / 23,Silly Goose Jr.,Brendan Fraser - The Whale,Ke Huy Quan - Everything Everywhere All at Once,Michelle Yeoh - Everything Everywhere All at Once,Jamie Lee Curtis - Everything Everywhere All at Once,Guillermo Del Toro\'s Pinocchio,All Quiet on the Western Front,Black Panther: Wakanda Forever,Steven Spielberg - The Fabelmans,All That Breathes,Stranger at the Gate,Top Gun: Maverick,All Quiet on the Western Front,All Quiet on the Western Front,Everything Everywhere All at Once,Hold My Hand - Top Gun: Maverick,Top Gun: Maverick,All Quiet on the Western Front,My Year of Dicks,The Red Suitcase,The Batman,The Batman,Glass Onion: A Knives Out Mystery,Everything Everywhere All at Once
3/4/2023 16:28:40,11 / 23,Sofia,Colin Farrell - The Banshees of Inisherin,Ke Huy Quan - Everything Everywhere All at Once,Cate Blanchett - Tar,Angela Bassett - Black Panther: Wakanda Forever,Marcel the Shell with Shoes On,All Quiet on the Western Front,Black Panther: Wakanda Forever,Daniel Kwan and Daniel Scheinert - Everything Everywhere All at Once,All That Breathes,The Elephant Whisperers,Everything Everywhere All at Once,Close,Elvis,The Fabelmans,Lift Me Up - Black Panther: Wakanda Forever,Everything Everywhere All at Once,Elvis,"The Boy, The Mole, The Fox and the Horse",An Irish Goodbye,Elvis,Avatar: The Way of Water,Women Talking,The Banshees of Inisherin
3/12/2023 12:05:56,10 / 23,SARAH DAVISON,Brendan Fraser - The Whale,Ke Huy Quan - Everything Everywhere All at Once,Michelle Yeoh - Everything Everywhere All at Once,Kerry Condon - The Banshees of Inisherin,Puss In Boots: The Last Wish,All Quiet on the Western Front,Everything Everywhere All at Once,Steven Spielberg - The Fabelmans,Navalny,The Elephant Whisperers,Everything Everywhere All at Once,All Quiet on the Western Front,All Quiet on the Western Front,Babylon,Lift Me Up - Black Panther: Wakanda Forever,Everything Everywhere All at Once,Avatar: The Way of the Water,"The Boy, The Mole, The Fox and the Horse",Night Ride,All Quiet on the Western Front,The Batman,Glass Onion: A Knives Out Mystery,The Banshees of Inisherin
3/12/2023 18:26:20,11 / 23,Ramsey Hutton,Brendan Fraser - The Whale,Ke Huy Quan - Everything Everywhere All at Once,Michelle Yeoh - Everything Everywhere All at Once,Stephanie Hsu - Everything Everywhere All at Once,Guillermo Del Toro\'s Pinocchio,Elvis,Babylon,Steven Spielberg - The Fabelmans,Fire of Love,The Elephant Whisperers,Everything Everywhere All at Once,All Quiet on the Western Front,The Whale,The Fabelmans,Lift Me Up - Black Panther: Wakanda Forever,Everything Everywhere All at Once,Babylon,My Year of Dicks,Le Pupille,The Batman,Avatar: The Way of Water,Women Talking,The Banshees of Inisherin
3/12/2023 18:53:50,13 / 23,piper guinn,Austin Butler - Elvis,Ke Huy Quan - Everything Everywhere All at Once,Michelle Williams - The Fabelmans,Kerry Condon - The Banshees of Inisherin,Guillermo Del Toro\'s Pinocchio,All Quiet on the Western Front,Elvis,Steven Spielberg - The Fabelmans,All the Beauty and the Bloodshed,How Do You Measure a Year?,Everything Everywhere All at Once,All Quiet on the Western Front,Elvis,All Quiet on the Western Front,Lift Me Up - Black Panther: Wakanda Forever,Everything Everywhere All at Once,All Quiet on the Western Front,An Ostrich Told Me the World is Fake and I Think I Believe It,An Irish Goodbye,Top Gun: Maverick,Avatar: The Way of Water,Women Talking,Everything Everywhere All at Once
