Timestamp,Score,Your Name,Actor in a Leading Role,Actor in a Supporting Role,Actress in a Leading Role,Actress in a Supporting Role,Animated Feature Film,Cinematography,Costume Design,Directing,Documentary Feature Film,Documentary Short Film,Film Editing,International Feature Film,Makeup and Hairstyling,Music (Original Score),Music (Original Song),Best Picture,Production Design,Short Film (Animated),Short Film (Live Action),Sound,Visual Effects,Writing (Adapted Screenplay),Writing (Original Screenplay)
3/1/2024 19:15:05,10 / 23,Ollo,Jeffrey Wright - American Fiction,Sterling K. Brown - American Fiction,Sandra Hüller - Anatomy of a Fall,Danielle Brooks - The Color Purple,The Boy and the Heron,Poor Things,Poor Things,Yorgos Lanthimos - Poor Things,20 Days In Mariupol,The ABCs of Book Banning,Poor Things,The Teachers' Lounge,Poor Things,American Fiction,What Was I Made for? - Barbie,Poor Things,Poor Things,Ninety-Five Senses,The Wonderful Story of Henry Sugar,The Zone of Interest,,American Fiction,Anatomy of a Fall
3/1/2024 19:25:58,5 / 23,alice,Cillian Murphy - Oppenheimer,Ryan Gosling - Barbie,Emma Stone - Poor Things,America Ferrera - Barbie,The Boy and the Heron,Oppenheimer,Barbie,Martin Scorcece - Killers of the Flower Moon,Four Daugthers,The ABCs of Book Banning,Killers of the Flower Moon,Perfect Days,Society of the Snow,Indiana Jones and the Dial of Destiny,What Was I Made for? - Barbie,Barbie,Barbie,Ninety-Five Senses,"Red, White, and Blue",Oppenheimer,Guardians of the Galaxy Vol. 3,Barbie,The Holdovers
3/1/2024 19:47:12,6 / 23,Elissa,Paul Giamatti - The Holdovers,Mark Ruffalo - Poor Things,Lily Gladstone - Killers of the Flower Moon,Da'vine Joy Randolph - The Holdovers,Spider-Man: Across the Spider-Verse,Oppenheimer,Barbie,Christopher Nolan - Oppenheimer,20 Days In Mariupol,The ABCs of Book Banning,The Holdovers,Society of the Snow,Poor Things,American Fiction,I'm Just Ken - Barbie,Barbie,Barbie,Letter to a Pig,Knight of Fortune,Maestro,Napoleon,American Fiction,The Holdovers
3/1/2024 19:50:02,7 / 23,Chris,Cillian Murphy - Oppenheimer,Sterling K. Brown - American Fiction,Emma Stone - Poor Things,Danielle Brooks - The Color Purple,Spider-Man: Across the Spider-Verse,Oppenheimer,Napoleon,Christopher Nolan - Oppenheimer,To Kill A Tiger,The Barber of Little Rock,Oppenheimer,Society of the Snow,Maestro,Indiana Jones and the Dial of Destiny,I'm Just Ken - Barbie,Oppenheimer,Barbie,Letter to a Pig,Knight of Fortune,Maestro,Mission: Impossible - Dead Reckoning Part One,American Fiction,Maestro
3/1/2024 20:45:26,9 / 23,stef,Cillian Murphy - Oppenheimer,Ryan Gosling - Barbie,Emma Stone - Poor Things,America Ferrera - Barbie,The Boy and the Heron,Killers of the Flower Moon,Barbie,Jonathan Glazer - The Zone of Interest,20 Days In Mariupol,Island In Between,Oppenheimer,Perfect Days,Poor Things,Indiana Jones and the Dial of Destiny,What Was I Made for? - Barbie,Killers of the Flower Moon,Barbie,War is Over! Inspired by the Music of John & Yoko,"Red, White, and Blue",The Creator,The Creator,American Fiction,The Holdovers
3/1/2024 21:21:30,6 / 23,vasi “the oscar winner” bjeletich,Jeffrey Wright - American Fiction,Ryan Gosling - Barbie,Lily Gladstone - Killers of the Flower Moon,America Ferrera - Barbie,Nimona,Poor Things,Poor Things,Martin Scorcece - Killers of the Flower Moon,To Kill A Tiger,Nai Nai & Wài Pó,Anatomy of a Fall,The Zone of Interest,Poor Things,Oppenheimer,What Was I Made for? - Barbie,Barbie,Barbie,Letter to a Pig,The Wonderful Story of Henry Sugar,Oppenheimer,Guardians of the Galaxy Vol. 3,Barbie,Maestro
3/1/2024 22:13:53,3 / 23,Saraaaaaass,Cillian Murphy - Oppenheimer,Ryan Gosling - Barbie,Lily Gladstone - Killers of the Flower Moon,Emily Blunt - Oppenheimer,Spider-Man: Across the Spider-Verse,El Conde,Napoleon,Jonathan Glazer - The Zone of Interest,Four Daugthers,The ABCs of Book Banning,Oppenheimer,The Zone of Interest,Society of the Snow,Poor Things,I'm Just Ken - Barbie,Barbie,Barbie,Letter to a Pig,Invincible,Maestro,Napoleon,Poor Things,Past Lives
3/1/2024 22:15:26,6 / 23,Rebeka,Cillian Murphy - Oppenheimer,Ryan Gosling - Barbie,Emma Stone - Poor Things,America Ferrera - Barbie,Spider-Man: Across the Spider-Verse,Poor Things,Barbie,Yorgos Lanthimos - Poor Things,The Eternal Memory,The Barber of Little Rock,Poor Things,Society of the Snow,Poor Things,Killers of the Flower Moon,I'm Just Ken - Barbie,Killers of the Flower Moon,Napoleon,War is Over! Inspired by the Music of John & Yoko,The After,Oppenheimer,Godzilla Minus One,Barbie,Anatomy of a Fall
3/10/2024 12:12:26,6 / 23,Piper guinn,Paul Giamatti - The Holdovers,Ryan Gosling - Barbie,Lily Gladstone - Killers of the Flower Moon,Danielle Brooks - The Color Purple,Elemental,Killers of the Flower Moon,Barbie,Christopher Nolan - Oppenheimer,The Eternal Memory,The Barber of Little Rock,Oppenheimer,Society of the Snow,Poor Things,Oppenheimer,What Was I Made for? - Barbie,Killers of the Flower Moon,Barbie,Our Uniform,The Wonderful Story of Henry Sugar,Oppenheimer,Mission: Impossible - Dead Reckoning Part One,Barbie,The Holdovers
3/10/2024 17:24:24,18 / 23,Ramsey,Cillian Murphy - Oppenheimer,Robert Downey Jr. - Oppenheimer,Lily Gladstone - Killers of the Flower Moon,Da'vine Joy Randolph - The Holdovers,,Oppenheimer,Barbie,Christopher Nolan - Oppenheimer,20 Days In Mariupol,The Last Repair Shop,Oppenheimer,The Zone of Interest,Maestro,Oppenheimer,What Was I Made for? - Barbie,Oppenheimer,Poor Things,War is Over! Inspired by the Music of John & Yoko,The Wonderful Story of Henry Sugar,Oppenheimer,Godzilla Minus One,American Fiction,Anatomy of a Fall
